age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56.0,3,1,0,0,0,0,1,4,1,261.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
57.0,7,1,3,1,0,0,1,4,1,149.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
37.0,7,1,3,0,2,0,1,4,1,226.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
40.0,0,1,1,0,0,0,1,4,1,151.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
56.0,7,1,3,0,0,2,1,4,1,307.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
45.0,7,1,2,1,0,0,1,4,1,198.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
59.0,0,1,5,0,0,0,1,4,1,139.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
41.0,1,1,7,1,0,0,1,4,1,217.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
24.0,9,2,5,0,2,0,1,4,1,380.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
25.0,7,2,3,0,2,0,1,4,1,50.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
41.0,1,1,7,1,0,0,1,4,1,55.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
25.0,7,2,3,0,2,0,1,4,1,222.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
29.0,1,2,3,0,0,2,1,4,1,137.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
57.0,3,0,0,0,2,0,1,4,1,293.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
35.0,1,1,1,0,2,0,1,4,1,146.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
54.0,5,1,2,1,2,2,1,4,1,174.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
35.0,1,1,1,0,2,0,1,4,1,312.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
46.0,1,1,1,1,2,2,1,4,1,440.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
50.0,1,1,2,0,2,2,1,4,1,353.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
39.0,4,2,2,1,0,0,1,4,1,195.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
30.0,10,1,3,0,0,0,1,4,1,38.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,1,1,0,1,2,0,1,4,1,262.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,5,2,3,0,2,0,1,4,1,342.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
41.0,9,2,3,0,2,0,1,4,1,181.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
37.0,0,1,3,0,2,0,1,4,1,172.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
35.0,9,1,6,0,0,2,1,4,1,99.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
59.0,9,1,7,0,2,0,1,4,1,93.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
39.0,6,1,2,1,0,0,1,4,1,233.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
54.0,9,2,6,1,0,0,1,4,1,255.0,2.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,11,1,6,1,1,1,1,4,1,362.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
46.0,0,1,7,0,0,0,1,4,1,348.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
59.0,9,1,7,0,2,0,1,4,1,386.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
49.0,1,1,7,0,0,0,1,4,1,73.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
54.0,4,1,0,1,2,0,1,4,1,230.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
54.0,1,0,0,0,0,0,1,4,1,208.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,11,1,0,1,2,0,1,4,1,336.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
34.0,7,1,3,0,0,0,1,4,1,365.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
41.0,0,1,6,0,2,0,1,4,1,577.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
56.0,9,1,0,0,2,0,1,4,1,137.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
58.0,4,3,6,0,2,0,1,4,1,366.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
32.0,2,1,3,0,2,0,1,4,1,314.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
38.0,0,2,5,0,0,0,1,4,1,160.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
57.0,0,1,6,0,0,2,1,4,1,212.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
44.0,0,1,6,1,2,0,1,4,1,188.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
42.0,9,2,5,1,0,0,1,4,1,22.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
57.0,0,1,6,0,2,2,1,4,1,616.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
40.0,1,1,2,0,0,2,1,4,1,178.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
35.0,0,1,6,0,2,0,1,4,1,355.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
45.0,1,1,2,0,2,0,1,4,1,225.0,2.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
54.0,0,1,3,0,0,0,1,4,1,160.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
39.0,3,1,0,0,0,2,1,4,1,266.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
60.0,0,1,3,0,0,0,1,4,1,253.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
53.0,0,2,5,0,0,0,1,4,1,179.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,1,1,0,1,0,0,1,4,1,269.0,2.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,9,1,5,1,2,0,1,4,1,135.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
50.0,4,1,6,1,0,2,1,4,1,161.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
55.0,10,1,5,1,2,2,1,4,1,145.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
25.0,9,2,6,0,2,0,1,4,1,174.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
47.0,2,1,6,1,0,0,1,4,1,449.0,1.0,999.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
